Genename,ORF,beta
GPI16,YHR188C,-0.243153947
SLZ1,YNL196C,-0.243096126
TOM22,YNL131W,-0.243016848
YBR220C,YBR220C,-0.242964869
SRS2,YJL092W,-0.242897293
OAC1,YKL120W,-0.242876335
HOF1,YMR032W,-0.242758161
MTO1,YGL236C,-0.242714889
RRF1,YHR038W,-0.242518769
ACO2,YJL200C,-0.242378648
YJL160C,YJL160C,-0.242377896
ELP6,YMR312W,-0.242277918
GAS5,YOL030W,-0.242265878
CYK3,YDL117W,-0.242265083
PRO2,YOR323C,-0.242176194
RRB1,YMR131C,-0.241879577
RET3,YPL010W,-0.241774863
SPO12,YHR152W,-0.241589545
ARG1,YOL058W,-0.241499471
AIM24,YJR080C,-0.241467406
COX23,YHR116W,-0.241311312
RLI1,YDR091C,-0.241201365
STE24,YJR117W,-0.241199061
OST2,YOR103C,-0.240842722
NGL1,YOL042W,-0.240662703
YLR050C,YLR050C,-0.240408224
YIR007W,YIR007W,-0.240310751
POC4,YPL144W,-0.240249148
ARK1,YNL020C,-0.240186047
PAD1,YDR538W,-0.240040391
RFC1,YOR217W,-0.239972655
RTT107,YHR154W,-0.239929269
SMC1,YFL008W,-0.239809377
MRPL28,YDR462W,-0.23978695
PET9,YBL030C,-0.239742584
RPS5,YJR123W,-0.239637127
YDR541C,YDR541C,-0.239553233
SEC12,YNR026C,-0.239407816
YNG1,YOR064C,-0.239331049
ASC1,YMR116C,-0.239183583
MAS1,YLR163C,-0.239014177
MRPL8,YJL063C,-0.23893189
RPL4A,YBR031W,-0.238832628
PDS5,YMR076C,-0.238818676
UTH1,YKR042W,-0.238685888
RPC25,YKL144C,-0.238476188
YBL104C,YBL104C,-0.238403483
GUS1,YGL245W,-0.238391779
KCC4,YCL024W,-0.238260621
RPS22A,YJL190C,-0.238253589
AHA1,YDR214W,-0.238247042
TEC1,YBR083W,-0.238156939
MLC1,YGL106W,-0.238141092
AIM18,YHR198C,-0.238119282
RPL18B,YNL301C,-0.237731599
CBP2,YHL038C,-0.237647645
YER064C,YER064C,-0.237628555
RFA1,YAR007C,-0.237608612
BEM2,YER155C,-0.237498508
PCA1,YBR295W,-0.237456829
FUR1,YHR128W,-0.237226629
RMD1,YDL001W,-0.237078565
PUS9,YDL036C,-0.236922786
YHB1,YGR234W,-0.236841243
DJP1,YIR004W,-0.236744092
YIL177C,YIL177C,-0.23669705
WRS1,YOL097C,-0.236693089
