Genename,ORF,beta
MOT1,YPL082C,-0.175181608
OCA6,YDR067C,-0.175120807
SMF3,YLR034C,-0.175083504
CKS1,YBR135W,-0.175069583
AIM14,YGL160W,-0.175029079
YKL115C,YKL115C,-0.174994215
PHO85,YPL031C,-0.174931178
YGR251W,YGR251W,-0.174930174
YER134C,YER134C,-0.174906624
AYT1,YLL063C,-0.174860386
YCL057C-A,YCL057C-A,-0.174836306
MLH2,YLR035C,-0.174798162
RBG1,YAL036C,-0.17465808
SQS1,YNL224C,-0.174618652
SPO21,YOL091W,-0.174538856
TSA1,YML028W,-0.174517921
YJR015W,YJR015W,-0.174506975
YGR182C,YGR182C,-0.174395367
CLB3,YDL155W,-0.174322918
YHL050C,YHL050C,-0.174231435
SNZ2,YNL333W,-0.174223643
DAD4,YDR320C-A,-0.174221383
GCD7,YLR291C,-0.174214218
ATP5,YDR298C,-0.174164711
SMC2,YFR031C,-0.174031681
MEP1,YGR121C,-0.174005605
MSS51,YLR203C,-0.173674233
YJR054W,YJR054W,-0.173664829
BCD1,YHR040W,-0.173663275
MTG2,YHR168W,-0.173586515
URA5,YML106W,-0.17357359
PUB1,YNL016W,-0.173553117
CYC3,YAL039C,-0.173545781
RSC3,YDR303C,-0.173435443
ERP4,YOR016C,-0.173404163
RPL36A,YMR194W,-0.173358061
SRB6,YBR253W,-0.173324582
MCM22,YJR135C,-0.173309563
YKU70,YMR284W,-0.173309246
NCA2,YPR155C,-0.173262591
FSH3,YOR280C,-0.17323822
FLX1,YIL134W,-0.173198424
ATP2,YJR121W,-0.173190662
RAD57,YDR004W,-0.173186512
NHP2,YDL208W,-0.173136046
UPS3,YDR185C,-0.173065596
MET3,YJR010W,-0.173057263
YDR524C-B,YDR524C-B,-0.17305314
SCO1,YBR037C,-0.172950806
PHS1,YJL097W,-0.172924028
YIL014C-A,YIL014C-A,-0.172913818
DAT1,YML113W,-0.172901034
ENP2,YGR145W,-0.172644946
SRN2,YLR119W,-0.17259864
VAC14,YLR386W,-0.172551965
CBS2,YDR197W,-0.172405758
NOP58,YOR310C,-0.172392484
COX12,YLR038C,-0.172259099
TRM1,YDR120C,-0.172109461
PMP1,YCR024C-A,-0.17206249
TOM5,YPR133W-A,-0.172003579
FRK1,YPL141C,-0.171803094
NOP6,YDL213C,-0.171743598
PUS7,YOR243C,-0.171729824
TIM22,YDL217C,-0.171691042
CDC4,YFL009W,-0.171653223
MON2,YNL297C,-0.171610903
CRN1,YLR429W,-0.171585114
MGM101,YJR144W,-0.171575063
DPB2,YPR175W,-0.171571704
ATP7,YKL016C,-0.171365798
VPS29,YHR012W,-0.171335696
UTP25,YIL091C,-0.171274419
RPO26,YPR187W,-0.171262992
CCT7,YJL111W,-0.17121522
PRS3,YHL011C,-0.171196014
VPS36,YLR417W,-0.171074669
HYM1,YKL189W,-0.171055092
SOL2,YCR073W-A,-0.170968356
YDR514C,YDR514C,-0.170796273
AGC1,YPR021C,-0.170754343
YNK1,YKL067W,-0.17067
SEN1,YLR430W,-0.170640201
HOM6,YJR139C,-0.170626277
YNL320W,YNL320W,-0.170605414
RET1,YOR207C,-0.170604515
MSS116,YDR194C,-0.170474978
KTI11,YBL071W-A,-0.17036008
ESBP6,YNL125C,-0.170268128
TRS31,YDR472W,-0.170215034
ORC3,YLL004W,-0.170178423
SPS4,YOR313C,-0.170174222
IMD3,YLR432W,-0.170147688
BPL1,YDL141W,-0.170146116
RPL29,YFR032C-A,-0.17012952
BGL2,YGR282C,-0.170111458
ILV1,YER086W,-0.170053549
HOS1,YPR068C,-0.170039992
GEA2,YEL022W,-0.169932818
VMS1,YDR049W,-0.169900261
BNI5,YNL166C,-0.169807497
REI1,YBR267W,-0.169772425
NAM2,YLR382C,-0.169645969
YER137C,YER137C,-0.169613512
IKI3,YLR384C,-0.169537003
CCT5,YJR064W,-0.169478217
YLR143W,YLR143W,-0.169468828
TDH2,YJR009C,-0.169306951
GON7,YJL184W,-0.169300315
SUA5,YGL169W,-0.16926257
RIM13,YMR154C,-0.169206796
FAL1,YDR021W,-0.169139478
LSG1,YGL099W,-0.168998458
PLP1,YDR183W,-0.168918626
PPZ1,YML016C,-0.168909599
MSC2,YDR205W,-0.168905604
APC2,YLR127C,-0.16890262
ERG7,YHR072W,-0.168856234
NCE103,YNL036W,-0.168822393
RNA1,YMR235C,-0.16881999
COX11,YPL132W,-0.168686618
LIA1,YJR070C,-0.16867777
ADH1,YOL086C,-0.168675921
SLA2,YNL243W,-0.168629957
APE2,YKL157W,-0.168618096
PNP1,YLR209C,-0.168592061
UTP23,YOR004W,-0.168505555
CYT2,YKL087C,-0.168393039
CMS1,YLR003C,-0.168334842
ARG81,YML099C,-0.168260791
AAH1,YNL141W,-0.16822591
COA3,YJL062W-A,-0.168220252
CWP2,YKL096W-A,-0.168212246
YOR309C,YOR309C,-0.168198173
ASR1,YPR093C,-0.168078823
RPC53,YDL150W,-0.168064145
TIM50,YPL063W,-0.168003343
NOP10,YHR072W-A,-0.167933778
MRPL16,YBL038W,-0.167824806
ATP4,YPL078C,-0.167817557
ELM1,YKL048C,-0.167792933
ECM33,YBR078W,-0.167761893
GLN4,YOR168W,-0.167714892
SIL1,YOL031C,-0.167692769
VPS71,YML041C,-0.167684123
YOR292C,YOR292C,-0.167607669
ORC6,YHR118C,-0.167411915
TAF8,YML114C,-0.16738101
GGA2,YHR108W,-0.167230363
NMD3,YHR170W,-0.167215609
TRP5,YGL026C,-0.167166762
MAP1,YLR244C,-0.167115135
ATC1,YDR184C,-0.167109606
RPL15A,YLR029C,-0.167107129
BUD20,YLR074C,-0.167073691
EBP2,YKL172W,-0.167042515
ALG9,YNL219C,-0.167014337
PUS6,YGR169C,-0.166980401
UTP20,YBL004W,-0.166924313
FUS3,YBL016W,-0.166763119
MIF2,YKL089W,-0.16673555
VPS69,YPR087W,-0.166657842
HPC2,YBR215W,-0.166635782
CYB2,YML054C,-0.166548696
YLR349W,YLR349W,-0.166541427
RRP3,YHR065C,-0.166487349
NOP2,YNL061W,-0.166414358
BUD6,YLR319C,-0.166318998
RPB5,YBR154C,-0.166268293
EDS1,YBR033W,-0.166248073
ARO8,YGL202W,-0.166247466
SAH1,YER043C,-0.166246553
UNG1,YML021C,-0.166098961
KTI12,YKL110C,-0.165925116
YKL033W-A,YKL033W-A,-0.165851521
YJR087W,YJR087W,-0.165749038
ZDS1,YMR273C,-0.165686823
RHB1,YCR027C,-0.165665167
RPL19B,YBL027W,-0.165657628
CDC7,YDL017W,-0.16499587
RPB9,YGL070C,-0.164843322
YDL183C,YDL183C,-0.164798305
IMP2,YMR035W,-0.164749992
PDI1,YCL043C,-0.164689575
YSY6,YBR162W-A,-0.164654032
YOR238W,YOR238W,-0.164624666
MAK21,YDR060W,-0.164605163
FCF1,YDR339C,-0.164589371
KAP104,YBR017C,-0.164549387
BCP1,YDR361C,-0.164519825
RPL1A,YPL220W,-0.164514933
DPH5,YLR172C,-0.164439465
SEC63,YOR254C,-0.164396573
RRN9,YMR270C,-0.164369277
POL4,YCR014C,-0.164358444
VPS63,YLR261C,-0.164184766
PFA3,YNL326C,-0.164127356
NTF2,YER009W,-0.164086313
GAL80,YML051W,-0.163953082
SEC11,YIR022W,-0.16389069
MSB2,YGR014W,-0.163839997
GEF1,YJR040W,-0.163654119
APT2,YDR441C,-0.163637154
POM152,YMR129W,-0.163620588
YOR214C,YOR214C,-0.163468774
YOL099C,YOL099C,-0.163398296
BUD23,YCR047C,-0.163150315
TIM10,YHR005C-A,-0.163016495
TIF3,YPR163C,-0.162990986
YPL150W,YPL150W,-0.162980621
TAL1,YLR354C,-0.16297305
RPL39,YJL189W,-0.162915619
YPS7,YDR349C,-0.162740245
VMA13,YPR036W,-0.162707762
RSM26,YJR101W,-0.162539632
VAS1,YGR094W,-0.16252331
YHR033W,YHR033W,-0.16248126
AKR1,YDR264C,-0.162389305
HIR1,YBL008W,-0.162348091
PGM1,YKL127W,-0.162293526
NOT3,YIL038C,-0.162264718
LIN1,YHR156C,-0.162249494
FPK1,YNR047W,-0.162230347
QCR9,YGR183C,-0.162164106
GPX2,YBR244W,-0.162121742
LAS21,YJL062W,-0.162035898
VMA7,YGR020C,-0.161974415
PRO3,YER023W,-0.161854461
TIM21,YGR033C,-0.161811243
ATP3,YBR039W,-0.161666204
YOR304C-A,YOR304C-A,-0.161645513
CAC2,YML102W,-0.161580888
CBP6,YBR120C,-0.161559597
PAP1,YKR002W,-0.16155451
RIC1,YLR039C,-0.161510273
MTC3,YGL226W,-0.161360748
UAF30,YOR295W,-0.161355592
UFD4,YKL010C,-0.161354842
QCR7,YDR529C,-0.161148078
BNR1,YIL159W,-0.161137077
LYS4,YDR234W,-0.16092311
TCP1,YDR212W,-0.160882616
MAK32,YCR019W,-0.160794056
BUD22,YMR014W,-0.160748727
ARF1,YDL192W,-0.160674064
SGT1,YOR057W,-0.160671404
SOP4,YJL192C,-0.160548865
MRPL49,YJL096W,-0.160537062
VMA11,YPL234C,-0.160536751
SEC27,YGL137W,-0.160517029
FIS1,YIL065C,-0.160483553
MIA40,YKL195W,-0.160408388
ACC1,YNR016C,-0.16038031
PRM5,YIL117C,-0.160374771
ERG13,YML126C,-0.16031212
POB3,YML069W,-0.160301796
MNT4,YNR059W,-0.1603002
AFR1,YDR085C,-0.160214243
NOC2,YOR206W,-0.160205205
COQ5,YML110C,-0.160117767
MED1,YPR070W,-0.160106076
YCR016W,YCR016W,-0.160021598
TSR3,YOR006C,-0.159950072
KRI1,YNL308C,-0.159893644
PPS1,YBR276C,-0.15974463
STN1,YDR082W,-0.159687792
RAT1,YOR048C,-0.159676608
YRB2,YIL063C,-0.1595251
PRE5,YMR314W,-0.159398473
ERG3,YLR056W,-0.159300597
UTP4,YDR324C,-0.159192491
SSS1,YDR086C,-0.159005329
BAP3,YDR046C,-0.158978967
SAS4,YDR181C,-0.158847169
PPT2,YPL148C,-0.158831892
PHR1,YOR386W,-0.15879963
YCR090C,YCR090C,-0.158764879
YBL100W-B,YBL100W-B,-0.158422189
CMC1,YKL137W,-0.158398319
SEC62,YPL094C,-0.158338644
HOC1,YJR075W,-0.158319717
ORC2,YBR060C,-0.158279749
YGL188C,YGL188C,-0.158277588
FYV8,YGR196C,-0.158262965
PHO84,YML123C,-0.158202481
NSR1,YGR159C,-0.158095679
MPM1,YJL066C,-0.158035113
HAP3,YBL021C,-0.15785722
SPE2,YOL052C,-0.157832775
ALG8,YOR067C,-0.157777505
ALD5,YER073W,-0.157719664
SFH5,YJL145W,-0.15771009
RPS29B,YDL061C,-0.157667567
DBP8,YHR169W,-0.157659742
YLR035C-A,YLR035C-A,-0.15765281
RAS1,YOR101W,-0.157492163
RSP5,YER125W,-0.15740206
SPC72,YAL047C,-0.157346563
SNU13,YEL026W,-0.157266173
YLR410W-B,YLR410W-B,-0.157219935
RRP42,YDL111C,-0.157172544
NIC96,YFR002W,-0.157171799
YCR024C-B,YCR024C-B,-0.157111235
FSF1,YOR271C,-0.157002101
YER128W,YER128W,-0.156957799
RPF2,YKR081C,-0.156822656
SRO77,YBL106C,-0.15658313
SED1,YDR077W,-0.156563197
GUK1,YDR454C,-0.156500438
COG3,YER157W,-0.156445806
YDR210W-B,YDR210W-B,-0.156335585
MRP20,YDR405W,-0.156184828
MIC17,MIC17,-0.156162385
GLR1,YPL091W,-0.156120724
HEM1,YDR232W,-0.156103991
BIO2,YGR286C,-0.156081339
NEW1,YPL226W,-0.155997483
RRP40,YOL142W,-0.155931751
GET4,YOR164C,-0.155862708
YKL023C-A,YKL023C-A,-0.155826148
PDR17,YNL264C,-0.155716636
PTR3,YFR029W,-0.155668738
ORC4,YPR162C,-0.155632373
PYC2,YBR218C,-0.15560954
IRC25,YLR021W,-0.155542536
YGR161C-D,YGR161C-D,-0.155523273
YHR192W,YHR192W,-0.155504538
RFC2,YJR068W,-0.15544393
YFR034W-A,YFR034W-A,-0.155408945
FAR11,YNL127W,-0.155279998
TEA1,YOR337W,-0.155108647
RLP24,YLR009W,-0.154996198
THR4,YCR053W,-0.154990221
YGR001C,YGR001C,-0.154931435
CYS4,YGR155W,-0.154907589
YPL245W,YPL245W,-0.154886853
RAD17,YOR368W,-0.154812621
DUG3,YNL191W,-0.154806445
ECM13,YBL043W,-0.154442558
DUS4,YLR405W,-0.154412254
PUS4,YNL292W,-0.154268469
YLR297W,YLR297W,-0.15423147
ALA1,YOR335C,-0.1541643
TIF5,YPR041W,-0.154132918
DSL1,YNL258C,-0.154117097
LIP5,YOR196C,-0.154044091
RUB1,YDR139C,-0.153969815
AIM21,YIR003W,-0.153938524
CUS2,YNL286W,-0.153758472
COX9,YDL067C,-0.153736215
FAR3,YMR052W,-0.153710973
MRPL23,YOR150W,-0.153655559
RRT14,YIL127C,-0.153601144
YDR319C,YDR319C,-0.153539641
ARG82,YDR173C,-0.153483968
HDA2,YDR295C,-0.153477876
DNF1,YER166W,-0.153446313
ABF1,YKL112W,-0.153424497
VPS38,YLR360W,-0.15340124
YBR063C,YBR063C,-0.153347942
RPM2,YML091C,-0.153247466
GLT1,YDL171C,-0.153181479
GUF1,YLR289W,-0.153096701
NNT1,YLR285W,-0.15309393
ISC10,YER180C,-0.153093419
GSH2,YOL049W,-0.153075529
SUC2,YIL162W,-0.152943078
YMC2,YBR104W,-0.152893659
SKP1,YDR328C,-0.152797095
YCL047C,YCL047C,-0.152445554
YCR015C,YCR015C,-0.152434126
DHH1,YDL160C,-0.152385266
YGR026W,YGR026W,-0.152231746
RPS23A,YGR118W,-0.152211755
YOR343W-B,YOR343W-B,-0.15213432
TOP1,YOL006C,-0.152055376
BUD14,YAR014C,-0.152025704
INM1,YHR046C,-0.151900494
PET123,YOR158W,-0.151736246
PHO4,YFR034C,-0.151523892
YIH1,YCR059C,-0.151459994
YOR105W,YOR105W,-0.151437717
NUS1,YDL193W,-0.151417281
KTR1,YOR099W,-0.151416886
MVP1,YMR004W,-0.151290131
RNQ1,YCL028W,-0.151207452
CDC16,YKL022C,-0.151175396
NOP4,YPL043W,-0.151136889
CBK1,YNL161W,-0.151078899
YGR093W,YGR093W,-0.150953177
GIP3,YPL137C,-0.150893037
REV1,YOR346W,-0.150792506
MAD3,YJL013C,-0.150779456
SNF1,YDR477W,-0.15074734
MET7,YOR241W,-0.150738282
YOR102W,YOR102W,-0.15062003
SEC65,YML105C,-0.150409509
CDC123,YLR215C,-0.150342846
CAK1,YFL029C,-0.150278368
NUP60,YAR002W,-0.150229377
ATG14,YBR128C,-0.150204049
FOL1,YNL256W,-0.150181214
RSM23,YGL129C,-0.150170986
MNP1,YGL068W,-0.150038224
LSM1,YJL124C,-0.150036488
TMA16,YOR252W,-0.149920379
PKR1,YMR123W,-0.149911853
RBL2,YOR265W,-0.149875104
LCB5,YLR260W,-0.149726588
YDR333C,YDR333C,-0.149692389
HRT3,YLR097C,-0.149519194
RRT2,YBR246W,-0.149498359
PHO91,YNR013C,-0.149431008
ATX1,YNL259C,-0.149429587
MRPL39,YML009C,-0.149405497
FLO1,YAR050W,-0.149301577
YGR079W,YGR079W,-0.149296716
KGD1,YIL125W,-0.149278353
MFA2,YNL145W,-0.149219866
TIM18,YOR297C,-0.149202879
ERV1,YGR029W,-0.149114778
YNR065C,YNR065C,-0.149060376
YEA6,YEL006W,-0.149047671
RPL16A,YIL133C,-0.148972195
PTC7,YHR076W,-0.148965026
SMC5,YOL034W,-0.148957017
TAF14,YPL129W,-0.148913459
GIS2,YNL255C,-0.14870422
MRPL37,YBR268W,-0.148686863
YBL036C,YBL036C,-0.148442109
TRM3,YDL112W,-0.148419557
ICP55,YER078C,-0.148102349
YML6,YML025C,-0.147950793
MRPL44,YMR225C,-0.14786291
NBP1,YLR457C,-0.147846756
ENT1,YDL161W,-0.147753785
GAR1,YHR089C,-0.147585455
YHR007C-A,YHR007C-A,-0.147397966
GRS2,YPR081C,-0.147336624
PET100,YDR079W,-0.147244484
MGE1,YOR232W,-0.147219628
GPM2,YDL021W,-0.147191739
ALG12,YNR030W,-0.147110888
COX8,YLR395C,-0.147078636
RPS30A,YLR287C-A,-0.146994557
GCN4,YEL009C,-0.146800334
TMA22,YJR014W,-0.146770726
PBY1,YBR094W,-0.146561395
AFG3,YER017C,-0.146450669
SEC28,YIL076W,-0.146443194
RHO2,YNL090W,-0.146427078
PRS1,YKL181W,-0.146387329
FBA1,YKL060C,-0.146375119
ROG3,YFR022W,-0.14630312
IRC22,YEL001C,-0.146286337
DBP9,YLR276C,-0.146193469
MRPL19,YNL185C,-0.146150531
NTG2,YOL043C,-0.145957536
RPS25A,YGR027C,-0.145747425
PKH3,YDR466W,-0.145446545
HIR3,YJR140C,-0.145338019
IOC2,YLR095C,-0.145286636
NSA2,YER126C,-0.145072177
SEC59,YMR013C,-0.14502529
RRP17,YDR412W,-0.144973807
RNH201,YNL072W,-0.144930271
TFA1,YKL028W,-0.14488898
SFA1,YDL168W,-0.144870314
SUI2,YJR007W,-0.144790517
EMI2,YDR516C,-0.144500675
YBL107C,YBL107C,-0.144494775
BMS1,YPL217C,-0.144443045
YIL161W,YIL161W,-0.144432283
ITC1,YGL133W,-0.144299794
LSM12,YHR121W,-0.144282783
BUD5,YCR038C,-0.144268872
CLD1,YGR110W,-0.144072545
SLN1,YIL147C,-0.144009632
JJJ1,YNL227C,-0.144004166
PDB1,YBR221C,-0.143805282
DUS3,YLR401C,-0.143780528
CPA2,YJR109C,-0.143471619
ALE1,YOR175C,-0.14345575
STE23,YLR389C,-0.143433416
YOL086W-A,YOL086W-A,-0.143359073
DBP10,YDL031W,-0.143311493
PEX11,YOL147C,-0.143066454
IRC20,YLR247C,-0.142935554
TRS65,YGR166W,-0.142855716
GMH1,YKR030W,-0.142806019
CDC50,YCR094W,-0.142678614
REX2,YLR059C,-0.142636122
ATG23,YLR431C,-0.142507424
YHR020W,YHR020W,-0.1424995
URA4,YLR420W,-0.142492039
YDL177C,YDL177C,-0.142485851
DFG10,YIL049W,-0.142456476
YIL002W-A,YIL002W-A,-0.142337585
HCR1,YLR192C,-0.142267733
YNL184C,YNL184C,-0.142076206
ATP16,YDL004W,-0.141955173
YDR370C,YDR370C,-0.14192618
CUE3,YGL110C,-0.14189949
YBL005W-B,YBL005W-B,-0.141886282
TAF13,YML098W,-0.141822159
CWC21,YDR482C,-0.141817698
MCM4,YPR019W,-0.141804447
ERV29,YGR284C,-0.141753644
PLP2,YOR281C,-0.141669964
YMR010W,YMR010W,-0.141640497
UPF3,YGR072W,-0.141414493
CSR1,YLR380W,-0.141350772
VID22,YLR373C,-0.14124897
MGR3,YMR115W,-0.141211889
RRP43,YCR035C,-0.141116276
PMA1,YGL008C,-0.141096734
YGL041W-A,YGL041W-A,-0.141062172
CDC37,YDR168W,-0.141001898
RRP15,YPR143W,-0.140982458
NAT2,YGR147C,-0.140839216
ERV15,YBR210W,-0.14082818
FRQ1,YDR373W,-0.140827063
VTC4,YJL012C,-0.140817515
AIM5,AIM5,-0.140680446
COA2,YPL189C-A,-0.140666992
LDB16,YCL005W,-0.140513912
RPN6,YDL097C,-0.140477137
TPO5,YKL174C,-0.140475012
TFC6,YDR362C,-0.140380956
CCT4,YDL143W,-0.140374379
PRK1,YIL095W,-0.140369628
THP3,YPR045C,-0.140309714
ACP1,YKL192C,-0.140303348
YJR111C,YJR111C,-0.140254927
PHO88,PHO88,-0.140236257
YIL151C,YIL151C,-0.140118896
ERV25,YML012W,-0.140107093
MRPL15,YLR312W-A,-0.140032221
ERV46,YAL042W,-0.139976078
HOM3,YER052C,-0.139942879
LYS21,YDL131W,-0.139906212
RCN1,YKL159C,-0.139778813
UBP14,YBR058C,-0.139751308
SOD2,YHR008C,-0.13946759
CKA2,YOR061W,-0.139392797
RLP7,YNL002C,-0.139383392
BUB2,YMR055C,-0.139282871
TDH3,YGR192C,-0.13925165
YGK3,YOL128C,-0.139143339
YIL165C,YIL165C,-0.139130701
TIF2,YJL138C,-0.139077413
DAS1,YJL149W,-0.139056938
YPL191C,YPL191C,-0.139051452
YPR010C-A,YPR010C-A,-0.138898605
ERG8,YMR220W,-0.138876817
ERG11,YHR007C,-0.138800817
PIS1,YPR113W,-0.138657938
MNT3,YIL014W,-0.138619324
PET191,YJR034W,-0.138550545
URA2,YJL130C,-0.138524676
PKC1,YBL105C,-0.138512604
EGD1,YPL037C,-0.13848946
PSK2,YOL045W,-0.138465685
COX13,YGL191W,-0.138459648
TMA20,YER007C-A,-0.138394452
YER138W-A,YER138W-A,-0.138364814
HMT1,YBR034C,-0.138183594
YDL176W,YDL176W,-0.138182069
YBR284W,YBR284W,-0.138052279
YBR012W-B,YBR012W-B,-0.137854143
APD1,YBR151W,-0.137847593
DCW1,YKL046C,-0.137795282
YMR230W-A,YMR230W-A,-0.137761185
YLR118C,YLR118C,-0.137738201
TSC11,YER093C,-0.137626534
CBR1,YIL043C,-0.137612983
SUI3,YPL237W,-0.137449751
IZH3,YLR023C,-0.137431173
PYC1,YGL062W,-0.137407556
AGE2,YIL044C,-0.137337568
NUP2,YLR335W,-0.137252114
SWD1,YAR003W,-0.136882858
SGM1,YJR134C,-0.136780127
INP2,YMR163C,-0.136776787
YBL100W-A,YBL100W-A,-0.136769711
RHO3,YIL118W,-0.13671761
REH1,YLR387C,-0.136714864
GPM1,YKL152C,-0.136679784
ADE8,YDR408C,-0.136651409
YBR096W,YBR096W,-0.13644568
CPR8,YNR028W,-0.13595297
GPI15,YNL038W,-0.135927586
RPB10,YOR210W,-0.135887169
SGT2,YOR007C,-0.135807548
MNN10,YDR245W,-0.135704328
DPS1,YLL018C,-0.135647526
ATS1,YAL020C,-0.135379255
MCA1,YOR197W,-0.135348005
MFM1,YPL060W,-0.135268313
ATP17,YDR377W,-0.135212176
STE18,YJR086W,-0.135199949
ZRT3,YKL175W,-0.135181229
PEX4,YGR133W,-0.135159465
PRP40,YKL012W,-0.135145661
TRX2,YGR209C,-0.134800478
RCK2,YLR248W,-0.134659502
KGD2,YDR148C,-0.134389117
PRS5,YOL061W,-0.134338405
DPP1,YDR284C,-0.134338107
COG6,YNL041C,-0.134323503
LST8,YNL006W,-0.134261552
SRP72,YPL210C,-0.134221983
GLO3,YER122C,-0.133997875
CIS1,YLR346C,-0.133986725
LEU4,YNL104C,-0.13396833
VTH1,YIL173W,-0.133934272
YLR036C,YLR036C,-0.13386375
VMR1,YHL035C,-0.133703251
LHS1,YKL073W,-0.133637671
VAC7,YNL054W,-0.133412458
GLN1,YPR035W,-0.133380858
YRF1-5,YLR467W,-0.133026499
IDP1,YDL066W,-0.132760827
PRM7,YDL039C,-0.132727447
NAP1,YKR048C,-0.132655267
YPL199C,YPL199C,-0.132603023
YGR235C,YGR235C,-0.13252825
CEM1,YER061C,-0.132367111
TOM70,YNL121C,-0.132324947
SFT1,YKL006C-A,-0.13230878
HOR7,YMR251W-A,-0.132265844
WTM2,YOR229W,-0.132243813
TMA7,YLR262C-A,-0.132142415
MAL33,YBR297W,-0.132107652
RPF1,YHR088W,-0.13191431
STE20,YHL007C,-0.131893554
FUI1,YBL042C,-0.131760738
YJL068C,YJL068C,-0.131729344
YKR070W,YKR070W,-0.131608107
SEC1,YDR164C,-0.131517824
YPL236C,YPL236C,-0.131451442
MPE1,YKL059C,-0.131243732
ROM1,YGR070W,-0.131153334
PER33,YLR064W,-0.131144768
MRPS12,YNR036C,-0.130998603
AVL9,YLR114C,-0.130905708
IAH1,YOR126C,-0.130721658
MTR4,YJL050W,-0.130686635
ALG1,YBR110W,-0.130578748
EFG1,YGR271C-A,-0.130503222
VAM3,YOR106W,-0.130299691
YHL017W,YHL017W,-0.130299652
ABZ2,YMR289W,-0.13029584
ANT1,YPR128C,-0.130164498
PDA1,YER178W,-0.130000424
IDP2,YLR174W,-0.12997898
SLD3,YGL113W,-0.129898034
SSE1,YPL106C,-0.129780106
VMA21,YGR105W,-0.129696275
SEN2,YLR105C,-0.129658933
RXT2,YBR095C,-0.129622953
DRE2,YKR071C,-0.129533322
SNO3,YFL060C,-0.129482374
NTG1,YAL015C,-0.129481613
NCP1,YHR042W,-0.129252187
SDH4,YDR178W,-0.129234206
RIB7,YBR153W,-0.129149487
SML1,YML058W,-0.12914928
GSM1,YJL103C,-0.129033793
YLR065C,YLR065C,-0.128959223
NSE3,YDR288W,-0.12886443
FMP32,YFL046W,-0.128660183
RSM18,YER050C,-0.128543926
MRPL1,YDR116C,-0.12836037
MTR10,YOR160W,-0.12830877
HBN1,YCL026C-B,-0.128147444
YNL095C,YNL095C,-0.128083608
YIL067C,YIL067C,-0.128070084
OKP1,YGR179C,-0.127974162
LOT6,YLR011W,-0.127914904
YNL260C,YNL260C,-0.127857181
SDA1,YGR245C,-0.127702742
YKL222C,YKL222C,-0.127688036
ECM25,YJL201W,-0.127666798
DIS3,YOL021C,-0.127651096
RPL41B,YDL133C-A,-0.127627121
DBF20,YPR111W,-0.127485482
DBP2,YNL112W,-0.127416246
ATP15,YPL271W,-0.127331071
URB2,YJR041C,-0.127317416
COG7,YGL005C,-0.12717815
SLC1,YDL052C,-0.127161514
MDE1,YJR024C,-0.127159508
GUP2,YPL189W,-0.127055847
TOM1,YDR457W,-0.127053405
CAP2,YIL034C,-0.127043367
QCR8,YJL166W,-0.12700466
NOG2,YNR053C,-0.126959634
YHR112C,YHR112C,-0.126623193
YDJ1,YNL064C,-0.126544205
PRE8,YML092C,-0.126482622
PET54,YGR222W,-0.126271292
YHR182W,YHR182W,-0.126225896
TRM2,YKR056W,-0.126223163
LAA1,YJL207C,-0.126210743
ATG27,YJL178C,-0.126140826
SNU71,YGR013W,-0.126109681
MAK31,YCR020C-A,-0.126056573
FMP43,FMP43,-0.126008378
QNS1,YHR074W,-0.125936818
QDR1,YIL120W,-0.125922885
BUD21,YOR078W,-0.125915629
RRN7,YJL025W,-0.125881377
YNL054W-B,YNL054W-B,-0.12583265
APS2,YJR058C,-0.125790336
SEO1,YAL067C,-0.125779121
ESF2,YNR054C,-0.125700634
RPC11,YDR045C,-0.125675063
PTC6,YCR079W,-0.125514272
ADD66,YKL206C,-0.125463978
TOS2,YGR221C,-0.125380052
YPR148C,YPR148C,-0.125118572
IMH1,YLR309C,-0.125113218
YNL040W,YNL040W,-0.125094618
STP2,YHR006W,-0.125045483
ARC1,YGL105W,-0.124989696
ARL1,YBR164C,-0.124848806
BTN2,YGR142W,-0.124754001
OCA2,YNL056W,-0.124629127
YER156C,YER156C,-0.124542904
NPA3,YJR072C,-0.124502884
ADH4,YGL256W,-0.124492451
UTP9,YHR196W,-0.124326809
PEX32,YBR168W,-0.124291593
HMF1,YER057C,-0.124232088
YMR134W,YMR134W,-0.124057899
YAR009C,YAR009C,-0.123993454
AIM44,YPL158C,-0.123902964
YGR161W-B,YGR161W-B,-0.123886653
CPR1,YDR155C,-0.123824826
KAE1,YKR038C,-0.123696035
SCP1,YOR367W,-0.123618485
SSN3,YPL042C,-0.123548933
SUS1,YBR111W-A,-0.123470442
YMR155W,YMR155W,-0.123450807
IRC5,YFR038W,-0.123357545
YOR060C,YOR060C,-0.123159653
NIT3,YLR351C,-0.123159085
OXA1,YER154W,-0.123108959
AAT2,YLR027C,-0.123060775
RSA3,YLR221C,-0.123031028
ARN1,YHL040C,-0.122910361
ALR1,YOL130W,-0.122873202
TAF11,YML015C,-0.122861832
MRP21,YBL090W,-0.122804502
NMA111,YNL123W,-0.122776041
RMD6,YEL072W,-0.122765963
GRX8,YLR364W,-0.122742309
CCT3,YJL014W,-0.122593915
BUG1,YDL099W,-0.122592021
ARP10,YDR106W,-0.122520124
ESA1,YOR244W,-0.122489932
YFH7,YFR007W,-0.122474079
SAS10,YDL153C,-0.122469419
YBR226C,YBR226C,-0.122467523
GUT2,YIL155C,-0.122459131
MSA1,YOR066W,-0.122316566
